"sep=,"
Name,Type,Color,Rarity,Author,Power,Toughness,Mana cost,Converted mana cost,Count,Foil count,Special foil count,Price,Foil price,Number,Set,ID,Multiverse ID,Comments,To trade,Condition,Grading,Languages,TCG ID,Cardmarket ID
"Light the Way","Instant",White,Common,"Benjamin Ee",0,0,(W),1,1,0,0,$0.09,$0.09,24,"Kamigawa: Neon Dynasty",71571,548317,,0,,,,262306,607402
"Light-Paws, Emperor's Voice","Legendary Creature - Fox Advisor",White,Rare,"Randy Vargas",2,2,(1)(W),2,0,0,0,$0.64,$1.08,25,"Kamigawa: Neon Dynasty",71572,548318,,0,,,,262458,607564
"Lion Sash","Artifact Creature - Equipment Cat",White,Rare,"Yongjae Choi",1,1,(1)(W),2,0,0,0,$2.60,$3.46,26,"Kamigawa: Neon Dynasty",71573,548319,,0,,,,262184,607314
"Lucky Offering","Sorcery",White,Common,"Fiona Hsieh",0,0,(W),1,0,0,0,$0.05,$0.06,27,"Kamigawa: Neon Dynasty",71574,548320,,0,,,,262706,608184
"March of Otherworldly Light","Instant",White,Rare,"Nils Hamm",0,0,(X)(W),1,0,0,0,$8.37,$9.89,28,"Kamigawa: Neon Dynasty",71575,548321,,0,,,,262232,607366
"Michiko's Reign of Truth","Enchantment - Saga",White,Uncommon,"Volkan Baǵa",0,0,(1)(W),2,2,1,0,$0.14,$0.32,29,"Kamigawa: Neon Dynasty",71576,548322,,0,2xMint,,2xEnglish,261980,607003
"Portrait of Michiko","Enchantment Creature - Human Noble",White,Uncommon,"Volkan Baǵa",0,0,,2,2,1,0,$0.14,$0.32,29,"Kamigawa: Neon Dynasty",71577,548322,,0,2xMint,,2xEnglish,261980,607003
"Mothrider Patrol","Creature - Fox Warrior",White,Common,"Ilse Gort",1,1,(W),1,1,0,0,$0.04,$0.04,30,"Kamigawa: Neon Dynasty",71578,548324,,0,,,,262703,608185
"Norika Yamazaki, the Poet","Legendary Creature - Human Samurai",White,Uncommon,"Magali Villeneuve",3,2,(2)(W),3,2,0,0,$0.04,$0.12,31,"Kamigawa: Neon Dynasty",71579,548325,,0,2xMint,,2xEnglish,262418,607396
"Regent's Authority","Instant",White,Common,"A. M. Sartor",0,0,(W),1,1,0,0,$0.09,$0.09,32,"Kamigawa: Neon Dynasty",71580,548326,,0,,,,262697,608186
"Repel the Vile","Instant",White,Common,"Dominik Mayer",0,0,(3)(W),4,2,0,0,$0.03,$0.05,33,"Kamigawa: Neon Dynasty",71581,548327,,0,2xMint,,2xEnglish,262695,608187
"The Restoration of Eiganjo","Enchantment - Saga",White,Rare,"Titus Lunter",0,0,(2)(W),3,1,0,0,$0.40,$0.73,34,"Kamigawa: Neon Dynasty",71582,548328,,0,,,,262322,607398
"Architect of Restoration","Enchantment Creature - Fox Monk",White,Rare,"Titus Lunter",3,4,,3,1,0,0,$0.40,$0.73,34,"Kamigawa: Neon Dynasty",71583,548328,,0,,,,262322,607398
"Selfless Samurai","Creature - Fox Samurai",White,Uncommon,"PINDURSKI",2,2,(1)(W),2,1,0,0,$0.04,$0.13,35,"Kamigawa: Neon Dynasty",71584,548330,,0,,,,262597,608188
"Seven-Tail Mentor","Creature - Fox Samurai",White,Common,"Eelis Kyttanen",2,3,(3)(W),4,1,0,0,$0.02,$0.10,36,"Kamigawa: Neon Dynasty",71585,548331,,0,,,,262567,607586
"Sky-Blessed Samurai","Enchantment Creature - Human Samurai",White,Uncommon,"Victor Adame Minguez",4,4,(6)(W),7,2,0,0,$0.06,$0.08,37,"Kamigawa: Neon Dynasty",71586,548332,,0,2xMint,,2xEnglish,262598,607633
"Spirited Companion","Enchantment Creature - Dog",White,Common,"Ilse Gort",1,1,(1)(W),2,0,0,0,$0.13,$0.39,38,"Kamigawa: Neon Dynasty",71587,548333,,0,,,,262157,607155
"Sunblade Samurai","Enchantment Creature - Human Samurai",White,Common,"Aaron Miller",4,4,(4)(W),5,1,0,0,$0.06,$0.12,39,"Kamigawa: Neon Dynasty",71588,548334,,0,,,,262197,607354
"Touch the Spirit Realm","Enchantment",White,Uncommon,"Marta Nael",0,0,(2)(W),3,0,0,0,$0.16,$0.38,40,"Kamigawa: Neon Dynasty",71589,548335,,0,,,,262694,608189
"Wanderer's Intervention","Instant",White,Common,"Cristi Balanescu",0,0,(1)(W),2,2,0,0,$0.04,$0.08,41,"Kamigawa: Neon Dynasty",71590,548336,,0,2xMint,,2xEnglish,262693,608190
"The Wandering Emperor","Legendary Planeswalker",White,Mythic,"William Arnold",0,0,(2)(W)(W),4,2,1,0,$36.25,$40.90,42,"Kamigawa: Neon Dynasty",71591,548337,,0,,,,262039,607030
"When We Were Young","Instant",White,Uncommon,"Eric Deschamps",0,0,(3)(W),4,2,0,0,$0.03,$0.09,43,"Kamigawa: Neon Dynasty",71592,548338,,0,2xMint,,2xEnglish,262624,608191
"Acquisition Octopus","Artifact Creature - Equipment Octopus",Blue,Uncommon,"Francisco Miyara",2,2,(2)(U),3,1,0,0,$0.11,$0.13,44,"Kamigawa: Neon Dynasty",71593,548339,,0,,,,262621,608192
"Anchor to Reality","Sorcery",Blue,Uncommon,"Alix Branwyn",0,0,(2)(U)(U),4,1,0,0,$0.11,$0.18,45,"Kamigawa: Neon Dynasty",71594,548340,,0,,,,262599,607634
"Armguard Familiar","Artifact Creature - Equipment Beast",Blue,Common,"Joshua Raphael",2,1,(1)(U),2,1,0,0,$0.06,$0.06,46,"Kamigawa: Neon Dynasty",71595,548341,,0,,,,262191,607357
"Awakened Awareness","Enchantment - Aura",Blue,Uncommon,"Tran Nguyen",0,0,(X)(U)(U),2,1,0,0,$0.05,$0.10,47,"Kamigawa: Neon Dynasty",71596,548342,,0,,,,262192,607329
"Behold the Unspeakable","Enchantment - Saga",Blue,Uncommon,"Ravenna Tran",0,0,(3)(U)(U),5,1,0,0,$0.05,$0.20,48,"Kamigawa: Neon Dynasty",71597,548343,,0,,,,262267,607167
"Vision of the Unspeakable","Enchantment Creature - Spirit",Blue,Uncommon,"Ravenna Tran",0,0,,5,1,0,0,$0.05,$0.20,48,"Kamigawa: Neon Dynasty",71598,548343,,0,,,,262267,607167
"Covert Technician","Artifact Creature - Human Ninja",Blue,Uncommon,"Lucas Graciano",2,4,(2)(U),3,1,0,0,$0.09,$0.10,49,"Kamigawa: Neon Dynasty",71599,548345,,0,,,,262159,607015
"Discover the Impossible","Instant",Blue,Uncommon,"Ryan Pancoast",0,0,(2)(U),3,1,0,0,$0.09,$0.42,50,"Kamigawa: Neon Dynasty",71600,548346,,0,,,,262578,607591
"Disruption Protocol","Instant",Blue,Common,"Pauline Voss",0,0,(U)(U),2,2,1,0,$0.10,$0.19,51,"Kamigawa: Neon Dynasty",71601,548347,,0,,,,262783,608193
"Essence Capture","Instant",Blue,Uncommon,"Campbell White",0,0,(U)(U),2,1,0,0,$0.09,$0.10,52,"Kamigawa: Neon Dynasty",71602,548348,,0,,,,262600,608194
"Futurist Operative","Creature - Human Ninja",Blue,Uncommon,"Justine Cruz",3,4,(3)(U),4,1,1,0,$0.02,$0.05,53,"Kamigawa: Neon Dynasty",71603,548349,,0,,,,262235,607367
"Futurist Sentinel","Artifact - Vehicle",Blue,Common,"Daniel Ljunggren",6,6,(3)(U),4,1,0,0,$0.06,$0.06,54,"Kamigawa: Neon Dynasty",71604,548350,,0,,,,262797,608195
"Go-Shintai of Lost Wisdom","Legendary Enchantment Creature - Shrine",Blue,Uncommon,"Johannes Voss",0,4,(1)(U),2,1,0,0,$0.12,$0.39,55,"Kamigawa: Neon Dynasty",71605,548351,,0,,,,262792,608196
"Guardians of Oboro","Creature - Moonfolk Samurai",Blue,Common,"Anna Steinbauer",3,4,(2)(U),3,1,1,0,$0.08,$0.09,56,"Kamigawa: Neon Dynasty",71606,548352,,0,,,,262199,607352
"Inventive Iteration","Enchantment - Saga",Blue,Rare,"Nestor Ossandon Leal",0,0,(3)(U),4,0,0,0,$0.12,$0.29,57,"Kamigawa: Neon Dynasty",71607,548353,,0,,,,262768,607651
"Living Breakthrough","Enchantment Creature - Moonfolk",Blue,Rare,"Nestor Ossandon Leal",3,3,,4,0,0,0,$0.12,$0.29,57,"Kamigawa: Neon Dynasty",71608,548353,,0,,,,262768,607651
"Invoke the Winds","Sorcery",Blue,Rare,"Olivier Bernard",0,0,(1)(U)(U)(U)(U),5,0,0,0,$0.16,$0.24,58,"Kamigawa: Neon Dynasty",71609,548355,,0,,,,262601,607635
"Jin-Gitaxias, Progress Tyrant","Legendary Creature - Phyrexian Praetor",Blue,Mythic,"Chase Stone",5,5,(5)(U)(U),7,0,0,0,$10.18,$11.81,59,"Kamigawa: Neon Dynasty",71610,548356,,0,,,,262041,607031
"Kairi, the Swirling Sky","Legendary Creature - Dragon Spirit",Blue,Mythic,"Tyler Jacobson",6,6,(4)(U)(U),6,1,0,0,$1.36,$2.65,60,"Kamigawa: Neon Dynasty",71611,548357,,0,,,,262032,607032
"March of Swirling Mist","Instant",Blue,Rare,"Iris Compiet",0,0,(X)(U),1,1,0,0,$0.53,$0.72,61,"Kamigawa: Neon Dynasty",71612,548358,,0,,,,262791,608197
"Mindlink Mech","Artifact - Vehicle",Blue,Rare,"Robbie Trevino",4,3,(2)(U),3,0,0,0,$0.19,$0.27,62,"Kamigawa: Neon Dynasty",71613,548359,,0,,,,262790,608198
"Mirrorshell Crab","Artifact Creature - Crab",Blue,Common,"Cristi Balanescu",5,7,(5)(U)(U),7,1,0,0,$0.12,$0.23,63,"Kamigawa: Neon Dynasty",71614,548360,,0,,,,262787,608199
"Mnemonic Sphere","Artifact",Blue,Common,"Robin Olausson",0,0,(1)(U),2,1,0,0,$0.06,$0.20,64,"Kamigawa: Neon Dynasty",71615,548361,,0,,,,262799,608200
"Mobilizer Mech","Artifact - Vehicle",Blue,Uncommon,"Jonathan Kuo",3,4,(1)(U),2,2,0,0,$0.12,$0.17,65,"Kamigawa: Neon Dynasty",71616,548362,,0,2xMint,,2xEnglish,262442,607574
"The Modern Age","Enchantment - Saga",Blue,Common,"Anastasia Ovchinnikova",0,0,(1)(U),2,1,0,0,$0.09,$0.16,66,"Kamigawa: Neon Dynasty",71617,548363,,0,,,,261985,607014
"Vector Glider","Enchantment Creature - Spirit",Blue,Common,"Anastasia Ovchinnikova",2,3,,2,1,0,0,$0.09,$0.16,66,"Kamigawa: Neon Dynasty",71618,548363,,0,,,,261985,607014
"Moon-Circuit Hacker","Enchantment Creature - Human Ninja",Blue,Common,"Tia Masic",2,1,(1)(U),2,1,0,0,$0.17,$0.25,67,"Kamigawa: Neon Dynasty",71619,548365,,0,,,,262193,607347
"Moonfolk Puzzlemaker","Artifact Creature - Moonfolk Wizard",Blue,Common,"Miguel Mercado",1,4,(2)(U),3,0,0,0,$0.05,$0.11,68,"Kamigawa: Neon Dynasty",71620,548366,,0,,,,262795,608201
"Moonsnare Prototype","Artifact",Blue,Common,"Fariba Khamseh",0,0,(U),1,0,0,0,$0.13,$0.83,69,"Kamigawa: Neon Dynasty",71621,548367,,0,,,,262132,607156
"Moonsnare Specialist","Creature - Human Ninja",Blue,Common,"Lie Setiawan",2,2,(3)(U),4,1,0,0,$0.09,$0.20,70,"Kamigawa: Neon Dynasty",71622,548368,,0,,,,262801,608202
"Network Disruptor","Artifact Creature - Moonfolk Rogue",Blue,Common,"Viko Menezes",1,1,(U),1,1,0,0,$0.09,$0.23,71,"Kamigawa: Neon Dynasty",71623,548369,,0,,,,262602,607583
"Planar Incision","Instant",Blue,Common,"Joshua Raphael",0,0,(1)(U),2,2,1,0,$0.09,$0.09,72,"Kamigawa: Neon Dynasty",71624,548370,,0,,,,262784,608203
"Prosperous Thief","Creature - Human Ninja",Blue,Uncommon,"Fajareka Setiawan",3,2,(2)(U),3,1,0,0,$0.12,$0.27,73,"Kamigawa: Neon Dynasty",71625,548371,,0,,,,262603,607638
"The Reality Chip","Legendary Artifact Creature - Equipment Jellyfish",Blue,Rare,"Campbell White",0,4,(1)(U),2,0,0,0,$1.66,$2.49,74,"Kamigawa: Neon Dynasty",71626,548372,,0,,,,262058,607033
"Reality Heist","Instant",Blue,Uncommon,"Mila Pesic",0,0,(5)(U)(U),7,1,0,0,$0.20,$0.73,75,"Kamigawa: Neon Dynasty",71627,548373,,0,,,,262430,607392
"Replication Specialist","Creature - Moonfolk Artificer",Blue,Uncommon,"Cristi Balanescu",3,4,(4)(U),5,1,0,0,$0.06,$0.20,76,"Kamigawa: Neon Dynasty",71628,548374,,0,,,,262625,608204
"Saiba Trespassers","Artifact Creature - Moonfolk Rogue",Blue,Common,"Evyn Fong",3,5,(4)(U),5,1,0,0,$0.02,$0.06,77,"Kamigawa: Neon Dynasty",71629,548375,,0,,,,262606,607584
"Short Circuit","Enchantment - Aura",Blue,Common,"Andreas Zafiratos",0,0,(1)(U),2,2,1,0,$0.05,$0.06,78,"Kamigawa: Neon Dynasty",71630,548376,,0,,,,262785,608205
"Skyswimmer Koi","Creature - Fish",Blue,Common,"Donato Giancola",3,3,(3)(U),4,1,0,0,$0.04,$0.12,79,"Kamigawa: Neon Dynasty",71631,548377,,0,,,,262777,608206
"Spell Pierce","Instant",Blue,Common,"Lie Setiawan",0,0,(U),1,1,0,0,$0.13,$0.32,80,"Kamigawa: Neon Dynasty",71632,548378,,0,,,,262466,607577
"Suit Up","Instant",Blue,Common,"Miguel Mercado",0,0,(2)(U),3,1,0,0,$0.04,$0.10,81,"Kamigawa: Neon Dynasty",71633,548379,,0,,,,262774,608207
"Tameshi, Reality Architect","Legendary Creature - Moonfolk Wizard",Blue,Rare,"Scott M. Fischer",2,3,(2)(U),3,1,0,0,$0.32,$0.53,82,"Kamigawa: Neon Dynasty",71634,548380,,0,,,,262160,607157
"Tamiyo's Compleation","Enchantment - Aura",Blue,Common,"Dominik Mayer",0,0,(3)(U),4,1,0,0,$0.06,$0.11,83,"Kamigawa: Neon Dynasty",71635,548381,,0,,,,262060,607034
"Tezzeret, Betrayer of Flesh","Legendary Planeswalker - Tezzeret",Blue,Mythic,"Bryan Sola",0,0,(2)(U)(U),4,2,1,0,$4.87,$6.78,84,"Kamigawa: Neon Dynasty",71636,548382,,0,,,,262040,607035
"Thirst for Knowledge","Instant",Blue,Uncommon,"Anna Pavleeva",0,0,(2)(U),3,2,1,0,$0.06,$0.10,85,"Kamigawa: Neon Dynasty",71637,548383,,0,,,,262608,608208
"Thousand-Faced Shadow","Creature - Human Ninja",Blue,Rare,"Ekaterina Burmak",1,1,(U),1,1,1,0,$0.72,$0.91,86,"Kamigawa: Neon Dynasty",71638,548384,,0,,,,262130,607100
"Assassin's Ink","Instant",Black,Uncommon,"Heonhwa Choe",0,0,(2)(B)(B),4,1,0,0,$0.08,$0.14,87,"Kamigawa: Neon Dynasty",71639,548385,,0,1xMint,,1xEnglish,262238,607368
"Biting-Palm Ninja","Creature - Human Ninja",Black,Rare,"Andreas Zafiratos",3,3,(2)(B),3,0,0,0,$0.23,$0.55,88,"Kamigawa: Neon Dynasty",71640,548386,,0,,,,262162,607017
"Blade of the Oni","Artifact Creature - Equipment Demon",Black,Mythic,"Jason A. Engle",3,1,(1)(B),2,0,0,0,$1.27,$1.64,89,"Kamigawa: Neon Dynasty",71641,548387,,0,,,,262570,607624
"Chainflail Centipede","Artifact Creature - Equipment Insect",Black,Common,"Viko Menezes",2,2,(2)(B),3,0,0,0,$0.05,$0.05,90,"Kamigawa: Neon Dynasty",71642,548388,,0,,,,262864,608209
"Clawing Torment","Enchantment - Aura",Black,Common,"Rovina Cai",0,0,(B),1,1,0,0,$0.08,$0.10,91,"Kamigawa: Neon Dynasty",71643,548389,,0,,,,262862,608210
"Debt to the Kami","Instant",Black,Common,"Jodie Muir",0,0,(2)(B),3,2,0,0,$0.17,$0.17,92,"Kamigawa: Neon Dynasty",71644,548390,,0,2xMint,,2xEnglish,262861,608211
"Dockside Chef","Enchantment Creature - Human Citizen",Black,Uncommon,"Steven Belledin",1,2,(B),1,1,0,0,$0.15,$0.41,93,"Kamigawa: Neon Dynasty",71645,548391,,0,,,,262859,608212
"Dokuchi Shadow-Walker","Creature - Ogre Ninja",Black,Common,"Manuel Castañón",5,5,(4)(B)(B),6,2,1,0,$0.06,$0.09,94,"Kamigawa: Neon Dynasty",71646,548392,,0,,,,262164,607024
"Dokuchi Silencer","Creature - Human Ninja",Black,Uncommon,"David Rapoza",2,1,(1)(B),2,1,0,0,$0.10,$0.20,95,"Kamigawa: Neon Dynasty",71647,548393,,0,,,,262857,608213
"Enormous Energy Blade","Artifact - Equipment",Black,Uncommon,"Campbell White",0,0,(2)(B),3,1,0,0,$0.04,$0.09,96,"Kamigawa: Neon Dynasty",71648,548394,,0,1xMint,,1xEnglish,262295,607401
"Go-Shintai of Hidden Cruelty","Legendary Enchantment Creature - Shrine",Black,Uncommon,"Johannes Voss",2,2,(3)(B),4,1,0,0,$0.11,$0.29,97,"Kamigawa: Neon Dynasty",71649,548395,,0,,,,262609,607640
"Gravelighter","Creature - Spirit",Black,Uncommon,"Miranda Meeks",2,2,(2)(B),3,1,0,0,$0.17,$0.38,98,"Kamigawa: Neon Dynasty",71650,548396,,0,,,,262654,608214
"Hidetsugu, Devouring Chaos","Legendary Creature - Ogre Demon",Black,Rare,"Isis",4,4,(3)(B),4,0,0,0,$0.21,$0.28,99,"Kamigawa: Neon Dynasty",71651,548397,,0,,,,257667,605018
"Inkrise Infiltrator","Creature - Human Ninja",Black,Common,"Campbell White",1,2,(1)(B),2,1,0,0,$0.10,$0.10,100,"Kamigawa: Neon Dynasty",71652,548398,,0,,,,262411,607509
"Invoke Despair","Sorcery",Black,Rare,"Olivier Bernard",0,0,(1)(B)(B)(B)(B),5,1,0,0,$0.29,$0.45,101,"Kamigawa: Neon Dynasty",71653,548399,,0,,,,262133,607089
"Junji, the Midnight Sky","Legendary Creature - Dragon Spirit",Black,Mythic,"Chase Stone",5,5,(3)(B)(B),5,0,0,0,$5.73,$7.32,102,"Kamigawa: Neon Dynasty",71654,548400,,0,,,,262122,607192
"Kaito's Pursuit","Sorcery",Black,Common,"Cristi Balanescu",0,0,(2)(B),3,1,0,0,$0.11,$0.11,103,"Kamigawa: Neon Dynasty",71655,548401,,0,,,,262850,608215
"Kami of Restless Shadows","Creature - Spirit",Black,Common,"rk post",3,3,(4)(B),5,1,0,0,$0.05,$0.05,104,"Kamigawa: Neon Dynasty",71656,548402,,0,,,,262826,608216
"Kami of Terrible Secrets","Creature - Spirit",Black,Common,"Mark Zug",3,4,(3)(B),4,0,0,0,$0.04,$0.04,105,"Kamigawa: Neon Dynasty",71657,548403,,0,,,,262822,608217
"Leech Gauntlet","Artifact Creature - Equipment Leech",Black,Uncommon,"Robin Olausson",2,2,(1)(B),2,1,0,0,$0.06,$0.09,106,"Kamigawa: Neon Dynasty",71658,548404,,0,1xMint,,1xEnglish,262072,607105
"Lethal Exploit","Instant",Black,Common,"Sam Guay",0,0,(1)(B),2,0,0,0,$0.09,$0.09,107,"Kamigawa: Neon Dynasty",71659,548405,,0,,,,262166,607158
"Life of Toshiro Umezawa","Enchantment - Saga",Black,Uncommon,"Sidharth Chaturvedi",0,0,(1)(B),2,1,0,0,$0.09,$0.13,108,"Kamigawa: Neon Dynasty",71660,548406,,0,,,,261944,607002
"Memory of Toshiro","Enchantment Creature - Human Samurai",Black,Uncommon,"Sidharth Chaturvedi",2,3,,2,1,0,0,$0.09,$0.13,108,"Kamigawa: Neon Dynasty",71661,548406,,0,,,,261944,607002
"The Long Reach of Night","Enchantment - Saga",Black,Uncommon,"Tuan Duong Chu",0,0,(3)(B),4,2,0,0,$0.08,$0.19,109,"Kamigawa: Neon Dynasty",71662,548408,,0,2xMint,,2xEnglish,262773,608218
"Animus of Night's Reach","Enchantment Creature - Spirit",Black,Uncommon,"Tuan Duong Chu",0,4,,4,2,0,0,$0.08,$0.19,109,"Kamigawa: Neon Dynasty",71663,548408,,0,2xMint,,2xEnglish,262773,608218
"Malicious Malfunction","Sorcery",Black,Uncommon,"Deruchenko Alexander",0,0,(1)(B)(B),3,2,1,0,$0.05,$0.15,110,"Kamigawa: Neon Dynasty",71664,548410,,0,,,,262239,607369
"March of Wretched Sorrow","Instant",Black,Rare,"Tyler Jacobson",0,0,(X)(B),1,0,0,0,$0.20,$0.37,111,"Kamigawa: Neon Dynasty",71665,548411,,0,,,,262443,607533
"Mukotai Ambusher","Artifact Creature - Rat Ninja",Black,Common,"Raymond Swanland",3,2,(3)(B),4,2,1,0,$0.11,$0.13,112,"Kamigawa: Neon Dynasty",71666,548412,,0,,,,262817,608219
"Mukotai Soulripper","Artifact - Vehicle",Black,Rare,"Eddie Mendoza",4,3,(1)(B),2,0,0,0,$0.10,$0.15,113,"Kamigawa: Neon Dynasty",71667,548413,,0,,,,262780,608220
"Nashi, Moon Sage's Scion","Legendary Creature - Rat Ninja",Black,Mythic,"Valera Lutfullina",3,2,(1)(B)(B),3,1,0,0,$3.32,$3.78,114,"Kamigawa: Neon Dynasty",71668,548414,,0,,,,262564,607581
"Nezumi Bladeblesser","Creature - Rat Samurai",Black,Common,"Ilse Gort",3,2,(2)(B),3,0,0,0,$0.04,$0.04,115,"Kamigawa: Neon Dynasty",71669,548415,,0,,,,262431,607510
"Nezumi Prowler","Artifact Creature - Rat Ninja",Black,Uncommon,"Joseph Weston",3,1,(1)(B),2,0,0,0,$0.13,$0.14,116,"Kamigawa: Neon Dynasty",71670,548416,,0,,,,262240,607370
"Okiba Reckoner Raid","Enchantment - Saga",Black,Common,"Victor Adame Minguez",0,0,(B),1,2,1,0,$0.06,$0.12,117,"Kamigawa: Neon Dynasty",71671,548417,,0,,,,262474,607572
"Nezumi Road Captain","Enchantment Creature - Rat Rogue",Black,Common,"Victor Adame Minguez",2,2,,1,2,1,0,$0.06,$0.12,117,"Kamigawa: Neon Dynasty",71672,548417,,0,,,,262474,607572
