"sep=,"
Name,Type,Color,Rarity,Author,Power,Toughness,Mana cost,Converted mana cost,Count,Foil count,Special foil count,Price,Foil price,Number,Set,ID,Multiverse ID,Comments,To trade,Condition,Grading,Languages,TCG ID,Cardmarket ID
"Undercellar Sweep","Enchantment",White,Uncommon,"Nino Is",0,0,(4)(W),5,0,0,0,$0.12,$0.17,47,"Commander Legends: Battle for Baldur's Gate",74579,0,,0,,,,273438,660715
"White Plume Adventurer","Creature - Orc Cleric",White,Rare,"Joseph Weston",3,3,(2)(W),3,0,0,0,$0.36,$0.73,49,"Commander Legends: Battle for Baldur's Gate",74581,0,,0,,,,272541,658453
"Windshaper Planetar","Creature - Angel",White,Rare,"Ben Hill",4,4,(4)(W),5,0,0,0,$0.14,$0.88,50,"Commander Legends: Battle for Baldur's Gate",74582,0,,0,,,,273440,660717
"Ancient Silver Dragon","Creature - Elder Dragon",Blue,Mythic,"Raoul Vitale",8,8,(6)(U)(U),8,0,0,0,$17.68,$18.07,56,"Commander Legends: Battle for Baldur's Gate",74588,0,,0,,,,273014,660261
"Blur","Instant",Blue,Common,"Dave Greco",0,0,(2)(U),3,0,0,0,$0.07,$0.13,58,"Commander Legends: Battle for Baldur's Gate",74590,0,,0,,,,272558,658456
"Candlekeep Inspiration","Sorcery",Blue,Uncommon,"Leonardo Santanna",0,0,(4)(U),5,0,0,0,$0.11,$0.15,59,"Commander Legends: Battle for Baldur's Gate",74591,0,,0,,,,273192,660833
"Contact Other Plane","Instant",Blue,Common,"Alix Branwyn",0,0,(3)(U),4,0,0,0,$0.09,$0.13,62,"Commander Legends: Battle for Baldur's Gate",74594,0,,0,,,,273292,660854
"Displacer Kitten","Creature - Cat Beast",Blue,Rare,"Campbell White",2,2,(3)(U),4,0,0,0,$15.31,$20.86,63,"Commander Legends: Battle for Baldur's Gate",74595,0,,0,,,,272901,659841
"Feywild Caretaker","Creature - Orc Wizard",Blue,Uncommon,"Borja Pindado",3,4,(4)(U),5,0,0,0,$0.13,$0.24,69,"Commander Legends: Battle for Baldur's Gate",74601,0,,0,,,,273351,660857
"Feywild Visitor","Legendary Enchantment - Background",Blue,Uncommon,"Johann Bodin",0,0,(2)(U),3,0,0,0,$0.09,$0.19,70,"Commander Legends: Battle for Baldur's Gate",74602,0,,0,,,,272778,659051
"Font of Magic","Enchantment",Blue,Mythic,"Francis Tneh",0,0,(3)(U),4,0,0,0,$2.71,$3.84,71,"Commander Legends: Battle for Baldur's Gate",74603,0,,0,,,,272909,659842
"Gale's Redirection","Instant",Blue,Rare,"Yeong-Hao Han",0,0,(3)(U)(U),5,0,0,0,$0.06,$0.53,73,"Commander Legends: Battle for Baldur's Gate",74605,0,,0,,,,272917,660719
"Illithid Harvester","Creature - Horror",Blue,Rare,"David Astruga",4,4,(4)(U),5,0,0,0,$0.22,$0.37,76,"Commander Legends: Battle for Baldur's Gate",74608,0,,0,,,,272589,658459
"Plant Tadpoles","Sorcery - Adventure",Blue,Rare,"David Astruga",0,0,(X)(U)(U),5,0,0,0,$0.22,$0.37,76,"Commander Legends: Battle for Baldur's Gate",74609,0,,0,,,,272589,658459
"Kindred Discovery","Enchantment",Blue,Rare,"Vincent Christiaens",0,0,(3)(U)(U),5,0,0,0,$5.08,$7.08,81,"Commander Legends: Battle for Baldur's Gate",74614,0,,0,,,,273121,660263
"Moonshae Pixie","Creature - Faerie",Blue,Uncommon,"Edgar Sánchez Hidalgo",2,2,(3)(U),4,0,0,0,$0.11,$0.20,84,"Commander Legends: Battle for Baldur's Gate",74617,0,,0,,,,273019,660265
"Pixie Dust","Instant - Adventure",Blue,Uncommon,"Edgar Sánchez Hidalgo",0,0,(1)(U),4,0,0,0,$0.11,$0.20,84,"Commander Legends: Battle for Baldur's Gate",74618,0,,0,,,,273019,660265
"Mystery Key","Artifact - Equipment",Blue,Uncommon,"Yeong-Hao Han",0,0,(1)(U),2,0,0,0,$0.06,$0.06,85,"Commander Legends: Battle for Baldur's Gate",74619,0,,0,,,,273287,660720
"Robe of the Archmagi","Artifact - Equipment",Blue,Rare,"Dallas Williams",0,0,(2)(U),3,0,0,0,$0.24,$0.81,91,"Commander Legends: Battle for Baldur's Gate",74625,0,,0,,,,272547,658461
"Shameless Charlatan","Legendary Enchantment - Background",Blue,Rare,"Inka Schulz",0,0,(1)(U),2,0,0,0,$0.02,$0.37,96,"Commander Legends: Battle for Baldur's Gate",74632,0,,0,,,,272655,658463
"Volo, Itinerant Scholar","Legendary Creature - Human Wizard",Blue,Mythic,"Andreas Zafiratos",2,3,(2)(U),3,0,0,0,$0.65,$1.66,103,"Commander Legends: Battle for Baldur's Gate",74640,0,,0,,,,272537,658465
"Wizards of Thay","Creature - Human Wizard",Blue,Rare,"Josh Hass",3,3,(3)(U),4,0,0,0,$0.63,$0.97,105,"Commander Legends: Battle for Baldur's Gate",74642,0,,0,,,,272741,659234
"Ambition's Cost","Sorcery",Black,Uncommon,"Zezhou Chen",0,0,(3)(B),4,0,0,0,$0.08,$0.13,110,"Commander Legends: Battle for Baldur's Gate",74649,0,,0,,,,272905,659845
"Ancient Brass Dragon","Creature - Elder Dragon",Black,Mythic,"Johan Grenier",7,6,(5)(B)(B),7,0,0,0,$20.94,$25.39,111,"Commander Legends: Battle for Baldur's Gate",74650,0,,0,,,,267052,650830
"Arms of Hadar","Sorcery",Black,Common,"Mirko Failoni",0,0,(3)(B),4,0,0,0,$0.06,$0.27,113,"Commander Legends: Battle for Baldur's Gate",74652,0,,0,,,,273393,660869
"Astarion's Thirst","Instant",Black,Rare,"Winona Nelson",0,0,(3)(B),4,0,0,0,$0.16,$0.40,114,"Commander Legends: Battle for Baldur's Gate",74653,0,,0,,,,273058,660268
"Atrocious Experiment","Sorcery",Black,Common,"SUZHIHUI",0,0,(2)(B),3,0,0,0,$0.09,$0.11,115,"Commander Legends: Battle for Baldur's Gate",74654,0,,0,,,,273394,660870
"Blood Money","Sorcery",Black,Mythic,"Inka Schulz",0,0,(5)(B)(B),7,0,0,0,$3.21,$4.96,116,"Commander Legends: Battle for Baldur's Gate",74655,0,,0,,,,272919,659846
"Cast Down","Instant",Black,Uncommon,"Tyler Walpole",0,0,(1)(B),2,0,0,0,$0.13,$0.26,119,"Commander Legends: Battle for Baldur's Gate",74658,0,,0,,,,273128,660726
"Chain Devil","Creature - Devil",Black,Common,"Bartek Fedyczak",4,2,(3)(B),4,0,0,0,$0.05,$0.15,120,"Commander Legends: Battle for Baldur's Gate",74659,0,,0,,,,273395,660871
"Cloudkill","Sorcery",Black,Uncommon,"David Szabo",0,0,(4)(B)(B),6,0,0,0,$0.09,$0.14,121,"Commander Legends: Battle for Baldur's Gate",74660,0,,0,,,,273013,660269
"Cultist of the Absolute","Legendary Enchantment - Background",Black,Rare,"Artur Treffner",0,0,(B),1,0,0,0,$0.31,$0.75,123,"Commander Legends: Battle for Baldur's Gate",74662,0,,0,,,,272636,658467
"Deadly Dispute","Instant",Black,Common,"Irina Nordsol",0,0,(1)(B),2,0,0,0,$1.21,$2.16,124,"Commander Legends: Battle for Baldur's Gate",74663,0,,0,,,,273397,660872
"Elder Brain","Creature - Horror",Black,Rare,"Daarken",6,6,(5)(B)(B),7,0,0,0,$1.12,$1.61,125,"Commander Legends: Battle for Baldur's Gate",74664,0,,0,,,,267048,650831
"Eldritch Pact","Sorcery",Black,Rare,"Peter Polach",0,0,(6)(B),7,0,0,0,$0.13,$0.22,126,"Commander Legends: Battle for Baldur's Gate",74665,0,,0,,,,273130,660728
"Guildsworn Prowler","Creature - Tiefling Rogue Assassin",Black,Common,"Fariba Khamseh",2,1,(1)(B),2,0,0,0,$0.04,$0.14,130,"Commander Legends: Battle for Baldur's Gate",74671,0,,0,,,,273404,660875
"Demonic Stench","Instant - Adventure",Black,Common,"Brent Hollowell",6,6,(B),7,0,0,0,$0.03,$0.14,131,"Commander Legends: Battle for Baldur's Gate",74673,0,,0,,,,273405,660823
"Hezrou","Creature - Frog Demon",Black,Common,"Brent Hollowell",6,6,(5)(B)(B),7,0,0,0,$0.03,$0.14,131,"Commander Legends: Battle for Baldur's Gate",74672,0,,0,,,,273405,660823
"Intellect Devourer","Creature - Horror",Black,Rare,"Brian Valeza",2,4,(3)(B),4,0,0,0,$0.17,$0.53,132,"Commander Legends: Battle for Baldur's Gate",74674,0,,0,,,,273288,660729
"Mold Folk","Creature - Fungus Warrior",Black,Common,"Piotr Foksowicz",1,1,(1)(B),2,0,0,0,$0.03,$0.15,133,"Commander Legends: Battle for Baldur's Gate",74675,0,,0,,,,273406,660876
"Murder","Instant",Black,Common,"David Astruga",0,0,(1)(B)(B),3,0,0,0,$0.03,$0.13,134,"Commander Legends: Battle for Baldur's Gate",74676,0,,0,,,,273407,660877
"Nefarious Imp","Creature - Imp",Black,Common,"Konstantin Porubov",2,1,(2)(B),3,0,0,0,$0.03,$0.14,137,"Commander Legends: Battle for Baldur's Gate",74679,0,,0,,,,273410,660880
"Pact Weapon","Artifact - Equipment",Black,Mythic,"Volkan Baǵa",0,0,(3)(B),4,0,0,0,$2.24,$4.75,139,"Commander Legends: Battle for Baldur's Gate",74681,0,,0,,,,273022,659852
"Passageway Seer","Creature - Tiefling Warlock",Black,Uncommon,"Konstantin Porubov",2,2,(3)(B),4,0,0,0,$0.11,$0.18,141,"Commander Legends: Battle for Baldur's Gate",74683,0,,0,,,,272586,658468
"Ravenloft Adventurer","Creature - Human Rogue Assassin",Black,Rare,"Jodie Muir",3,4,(3)(B),4,0,0,0,$0.19,$0.27,142,"Commander Legends: Battle for Baldur's Gate",74684,0,,0,,,,273023,660270
"Shadowheart, Dark Justiciar","Legendary Creature - Human Elf Cleric",Black,Rare,"Cristi Balanescu",3,4,(3)(B),4,0,0,0,$0.15,$0.21,146,"Commander Legends: Battle for Baldur's Gate",74688,0,,0,,,,272745,659200
"Sigil of Myrkul","Enchantment",Black,Uncommon,"David Astruga",0,0,(2)(B),3,0,0,0,$0.11,$0.14,147,"Commander Legends: Battle for Baldur's Gate",74689,0,,0,,,,273119,660271
"Skullport Merchant","Creature - Dwarf Citizen",Black,Uncommon,"Tomek Larek",1,4,(2)(B),3,0,0,0,$0.13,$0.18,149,"Commander Legends: Battle for Baldur's Gate",74691,0,,0,,,,273412,660824
"Vrock","Creature - Bird Demon",Black,Uncommon,"Dave Kendall",3,3,(3)(B)(B),5,0,0,0,$0.09,$0.17,157,"Commander Legends: Battle for Baldur's Gate",74700,0,,0,,,,272922,660733
"Ancient Copper Dragon","Creature - Elder Dragon",Red,Mythic,"Antonio José Manzanedo",6,5,(4)(R)(R),6,0,0,0,$46.36,$53.12,161,"Commander Legends: Battle for Baldur's Gate",74705,0,,0,,,,273001,660272
"Balor","Creature - Demon",Red,Mythic,"Uriah Voth",5,5,(3)(R)(R),5,0,0,0,$2.81,$3.90,162,"Commander Legends: Battle for Baldur's Gate",74706,0,,0,,,,273024,660273
"Bloodboil Sorcerer","Creature - Human Shaman",Red,Uncommon,"Bartek Fedyczak",3,3,(3)(R),4,0,0,0,$0.07,$0.15,164,"Commander Legends: Battle for Baldur's Gate",74708,0,,0,,,,273293,660734
"Caves of Chaos Adventurer","Creature - Human Barbarian",Red,Rare,"Marcela Medeiros",5,3,(3)(R),4,0,0,0,$0.11,$0.17,167,"Commander Legends: Battle for Baldur's Gate",74711,0,,0,,,,273297,660886
"Earth Tremor","Instant",Red,Common,"Borja Pindado",0,0,(3)(R),4,0,0,0,$0.04,$0.05,171,"Commander Legends: Battle for Baldur's Gate",74715,0,,0,,,,273306,660888
"Elturel Survivors","Creature - Tiefling Peasant",Red,Rare,"Zoltan Boros",0,4,(3)(R),4,0,0,0,$0.21,$0.22,172,"Commander Legends: Battle for Baldur's Gate",74716,0,,0,,,,272963,659860
"Genasi Enforcers","Creature - Elemental Shaman",Red,Common,"Joshua Raphael",1,3,(1)(R),2,0,0,0,$0.09,$0.09,177,"Commander Legends: Battle for Baldur's Gate",74722,0,,0,,,,273311,660274
"Ingenious Artillerist","Creature - Human Artificer",Red,Common,"Gaboleps",3,1,(2)(R),3,0,0,0,$0.08,$0.20,182,"Commander Legends: Battle for Baldur's Gate",74727,0,,0,,,,273319,660890
"Karlach, Fury of Avernus","Legendary Creature - Tiefling Barbarian",Red,Mythic,"Billy Christian",5,4,(4)(R),5,0,0,0,$2.50,$5.35,186,"Commander Legends: Battle for Baldur's Gate",74731,0,,0,,,,272781,659225
"Popular Entertainer","Legendary Enchantment - Background",Red,Rare,"Zoltan Boros",0,0,(1)(R),2,0,0,0,$0.16,$0.18,192,"Commander Legends: Battle for Baldur's Gate",74737,0,,0,,,,272950,660737
"Reckless Barbarian","Creature - Dragon Barbarian",Red,Common,"Oleksandr Kozachenko",2,2,(1)(R),2,0,0,0,$0.09,$0.23,193,"Commander Legends: Battle for Baldur's Gate",74738,0,,0,,,,273336,660895
"Storm King's Thunder","Instant",Red,Mythic,"Alexander Mokhov",0,0,(X)(R)(R)(R),3,0,0,0,$2.48,$4.58,196,"Commander Legends: Battle for Baldur's Gate",74741,0,,0,,,,273343,660276
"Taunting Kobold","Creature - Kobold",Red,Uncommon,"John Thacker",0,1,(R),1,0,0,0,$0.09,$0.19,199,"Commander Legends: Battle for Baldur's Gate",74744,0,,0,,,,273162,660834
"Sweeping Cleave","Instant - Adventure",Red,Uncommon,"Milivoj Ćeran",0,0,(1)(R),3,0,0,0,$0.12,$0.19,203,"Commander Legends: Battle for Baldur's Gate",74749,0,,0,,,,273026,660740
"Two-Handed Axe","Artifact - Equipment",Red,Uncommon,"Milivoj Ćeran",0,0,(2)(R),3,0,0,0,$0.12,$0.19,203,"Commander Legends: Battle for Baldur's Gate",74748,0,,0,,,,273026,660740
"Wild Magic Surge","Instant",Red,Uncommon,"Dave Greco",0,0,(R)(R),2,0,0,0,$1.88,$4.54,206,"Commander Legends: Battle for Baldur's Gate",74752,0,,0,,,,273206,660835
"Wyll's Reversal","Instant",Red,Rare,"Irina Nordsol",0,0,(2)(R),3,0,0,0,$0.14,$0.60,209,"Commander Legends: Battle for Baldur's Gate",74755,0,,0,,,,272737,660742
"Bathe in Gold","Instant - Adventure",Red,Common,"Adam Vehige",0,0,(1)(R),4,0,0,0,$0.07,$0.25,210,"Commander Legends: Battle for Baldur's Gate",74757,0,,0,,,,273356,660743
"Young Red Dragon","Creature - Dragon",Red,Common,"Adam Vehige",3,2,(3)(R),4,0,0,0,$0.07,$0.25,210,"Commander Legends: Battle for Baldur's Gate",74756,0,,0,,,,273356,660743
"Ancient Bronze Dragon","Creature - Elder Dragon",Green,Mythic,"Johan Grenier",7,7,(5)(G)(G),7,0,0,0,$7.90,$8.10,214,"Commander Legends: Battle for Baldur's Gate",74761,0,,0,,,,273301,660903
"Band Together","Instant",Green,Common,"Brian Valeza",0,0,(2)(G),3,0,0,0,$0.05,$0.13,216,"Commander Legends: Battle for Baldur's Gate",74763,0,,0,,,,273304,660904
"Barroom Brawl","Sorcery",Green,Rare,"Craig J Spearing",0,0,(1)(G),2,0,0,0,$0.11,$0.30,217,"Commander Legends: Battle for Baldur's Gate",74764,0,,0,,,,273308,660905
"Bramble Sovereign","Creature - Dryad",Green,Mythic,"Andreas Zafiratos",4,4,(2)(G)(G),4,0,0,0,$7.25,$8.97,218,"Commander Legends: Battle for Baldur's Gate",74765,0,,0,,,,272596,658476
"Druidic Ritual","Sorcery",Green,Common,"Vincent Christiaens",0,0,(2)(G),3,0,0,0,$0.05,$0.13,227,"Commander Legends: Battle for Baldur's Gate",74776,0,,0,,,,273331,660910
"Earthquake Dragon","Creature - Elemental Dragon",Green,Rare,"Johan Grenier",10,10,({)(1)(4)(})(G),15,0,0,0,$1.04,$2.70,228,"Commander Legends: Battle for Baldur's Gate",74777,0,,0,,,,273062,660279
"Erinis, Gloom Stalker","Legendary Creature - Halfling Ranger",Green,Uncommon,"Ioannis Fiore",3,3,(2)(G),3,0,0,0,$0.09,$0.24,230,"Commander Legends: Battle for Baldur's Gate",74780,0,,0,,,,272659,659055
"Majestic Genesis","Sorcery",Green,Mythic,"Alayna Danner",0,0,(6)(G)(G),8,0,0,0,$1.43,$2.84,240,"Commander Legends: Battle for Baldur's Gate",74791,0,,0,,,,272735,659230
"Monster Manual","Artifact",Green,Rare,"David Gaillet",0,0,(3)(G),4,0,0,0,$2.31,$2.56,242,"Commander Legends: Battle for Baldur's Gate",74793,0,,0,,,,272732,659108
"Zoological Study","Sorcery - Adventure",Green,Rare,"David Gaillet",0,0,(2)(G),4,0,0,0,$2.31,$2.56,242,"Commander Legends: Battle for Baldur's Gate",74794,0,,0,,,,272732,659108
"Myconid Spore Tender","Creature - Fungus",Green,Common,"Brian Valeza",4,1,(3)(G),4,0,0,0,$0.07,$0.11,243,"Commander Legends: Battle for Baldur's Gate",74795,0,,0,,,,273340,660912
"Overwhelming Encounter","Sorcery",Green,Uncommon,"Darek Zabrocki",0,0,(3)(G)(G),5,0,0,0,$0.11,$0.17,245,"Commander Legends: Battle for Baldur's Gate",74797,0,,0,,,,273344,660913
"Owlbear Shepherd","Creature - Goblin Druid",Green,Uncommon,"Scott Murphy",1,4,(2)(G),3,0,0,0,$0.11,$0.22,247,"Commander Legends: Battle for Baldur's Gate",74799,0,,0,,,,273346,660914
"Saddle of the Cavalier","Artifact - Equipment",Green,Uncommon,"Franz Vohwinkel",0,0,(2)(G),3,0,0,0,$0.06,$0.14,251,"Commander Legends: Battle for Baldur's Gate",74803,0,,0,,,,273350,660745
"Skanos Dragonheart","Legendary Creature - Dragon Ranger",Green,Uncommon,"Daarken",4,4,(4)(G),5,0,0,0,$0.11,$0.21,255,"Commander Legends: Battle for Baldur's Gate",74807,0,,0,,,,272785,660748
"Undermountain Adventurer","Creature - Giant Warrior",Green,Rare,"Michal Ivan",3,4,(3)(G),4,0,0,0,$0.02,$0.03,260,"Commander Legends: Battle for Baldur's Gate",74812,0,,0,,,,273201,660838
"Wilson, Refined Grizzly","Legendary Creature - Bear Warrior",Green,Uncommon,"Ilse Gort",2,2,(1)(G),2,0,0,0,$0.16,$0.61,261,"Commander Legends: Battle for Baldur's Gate",74813,0,,0,,,,272733,659056
"Alaundo the Seer","Legendary Creature - Human Shaman",Multicolors,Rare,"Aurore Folny",3,5,(2)(G)(U),4,0,0,0,$0.18,$0.38,264,"Commander Legends: Battle for Baldur's Gate",74816,0,,0,,,,272744,659227
"Astarion, the Decadent","Legendary Creature - Vampire Elf Rogue",Multicolors,Rare,"Ben Hill",4,4,(4)(W)(B),6,0,0,0,$0.18,$0.18,265,"Commander Legends: Battle for Baldur's Gate",74817,0,,0,,,,272642,658722
"Bane, Lord of Darkness","Legendary Creature - God",Multicolors,Rare,"Billy Christian",5,2,(1)(W)(U)(B),4,0,0,0,$0.06,$0.35,267,"Commander Legends: Battle for Baldur's Gate",74819,0,,0,,,,272933,660750
"Cadira, Caller of the Small","Legendary Creature - Orc Ranger",Multicolors,Uncommon,"Alexandr Leskinen",3,3,(1)(G)(W),3,0,0,0,$0.12,$0.26,269,"Commander Legends: Battle for Baldur's Gate",74821,0,,0,,,,272786,659228
"The Council of Four","Legendary Creature - Human Noble",Multicolors,Rare,"Justine Cruz",0,8,(3)(W)(U),5,0,0,0,$1.02,$1.85,271,"Commander Legends: Battle for Baldur's Gate",74823,0,,0,,,,272880,659406
"Dynaheir, Invoker Adept","Legendary Creature - Human Wizard",Multicolors,Rare,"Caroline Gariba",4,4,(1)(U)(R)(W),4,0,0,0,$0.16,$0.16,273,"Commander Legends: Battle for Baldur's Gate",74825,0,,0,,,,272644,658490
"Elminster","Legendary Planeswalker - Elminster",Multicolors,Mythic,"Viktor Titov",0,0,(3)(W)(U),5,0,0,0,$4.29,$11.57,274,"Commander Legends: Battle for Baldur's Gate",74826,0,,0,,,,272618,658730
"Jan Jansen, Chaos Crafter","Legendary Creature - Gnome Artificer",Multicolors,Rare,"Vladimir Krisetskiy",3,3,(R)(W)(B),3,0,0,0,$0.08,$0.60,277,"Commander Legends: Battle for Baldur's Gate",74829,0,,0,,,,272935,660751
"Minsc & Boo, Timeless Heroes","Legendary Planeswalker - Minsc",Multicolors,Mythic,"Andreas Zafiratos",0,0,(2)(R)(G),4,0,0,0,$5.74,$10.60,285,"Commander Legends: Battle for Baldur's Gate",74837,0,,0,,,,267049,650835
"Nine-Fingers Keene","Legendary Creature - Human Rogue",Multicolors,Rare,"Nils Hamm",4,4,(1)(B)(G)(U),4,0,0,0,$0.18,$0.58,289,"Commander Legends: Battle for Baldur's Gate",74841,0,,0,,,,272941,659872
"Tasha, the Witch Queen","Legendary Planeswalker - Tasha",Multicolors,Mythic,"Martina Fackova",0,0,(3)(U)(B),5,0,0,0,$3.78,$7.19,294,"Commander Legends: Battle for Baldur's Gate",74846,0,,0,,,,272657,658508
"Thrakkus the Butcher","Legendary Creature - Dragon Peasant",Multicolors,Uncommon,"Nestor Ossandon Leal",3,4,(3)(R)(G),5,0,0,0,$0.15,$0.38,295,"Commander Legends: Battle for Baldur's Gate",74847,0,,0,,,,272791,660755
"Zevlor, Elturel Exile","Legendary Creature - Tiefling Warrior",Multicolors,Rare,"David Rapoza",4,2,(1)(U)(B)(R),4,0,0,0,$0.18,$0.42,296,"Commander Legends: Battle for Baldur's Gate",74848,0,,0,,,,272666,656179
"Basilisk Collar","Artifact - Equipment",Colorless,Rare,"Craig J Spearing",0,0,(1),1,0,0,0,$0.76,$1.32,300,"Commander Legends: Battle for Baldur's Gate",74852,0,,0,,,,272792,659411
"Blade of Selves","Artifact - Equipment",Colorless,Rare,"Lie Setiawan",0,0,(2),2,0,0,0,$2.75,$3.99,301,"Commander Legends: Battle for Baldur's Gate",74853,0,,0,,,,272982,660283
"Campfire","Artifact",Colorless,Uncommon,"Edgar Sánchez Hidalgo",0,0,(1),1,0,0,0,$0.15,$0.46,304,"Commander Legends: Battle for Baldur's Gate",74856,0,,0,,,,272903,659880
"Drillworks Mole","Artifact Creature - Mole",Colorless,Uncommon,"José Parodi",1,1,(1),1,0,0,0,$0.13,$0.26,311,"Commander Legends: Battle for Baldur's Gate",74863,0,,0,,,,272912,660756
"Fire Diamond","Artifact",Colorless,Common,"Gaboleps",0,0,(2),2,0,0,0,$0.08,$0.16,313,"Commander Legends: Battle for Baldur's Gate",74865,0,,0,,,,272577,658518
"Manifold Key","Artifact",Colorless,Uncommon,"Gabor Szikszai",0,0,(1),1,0,0,0,$0.13,$0.39,319,"Commander Legends: Battle for Baldur's Gate",74871,0,,0,,,,273376,660830
"Moss Diamond","Artifact",Colorless,Common,"Gaboleps",0,0,(2),2,0,0,0,$0.07,$0.18,327,"Commander Legends: Battle for Baldur's Gate",74879,0,,0,,,,272574,658522
"Noble's Purse","Artifact",Colorless,Uncommon,"José Parodi",0,0,(2),2,0,0,0,$0.14,$0.49,331,"Commander Legends: Battle for Baldur's Gate",74883,0,,0,,,,272615,658525
"Swiftfoot Boots","Artifact - Equipment",Colorless,Uncommon,"Manuel Castañón",0,0,(2),2,0,0,0,$0.66,$1.61,339,"Commander Legends: Battle for Baldur's Gate",74891,0,,0,,,,272616,658530
"Vexing Puzzlebox","Artifact",Colorless,Mythic,"Volkan Baǵa",0,0,(3),3,0,0,0,$5.97,$8.96,343,"Commander Legends: Battle for Baldur's Gate",74895,0,,0,,,,273204,660839
"Baldur's Gate","Legendary Land - Gate",Colorless,Rare,"Titus Lunter",0,0,,0,0,0,0,$1.24,$2.53,345,"Commander Legends: Battle for Baldur's Gate",74897,0,,0,,,,272544,658753
"Bountiful Promenade","Land",Colorless,Rare,"Alayna Danner",0,0,,0,0,0,0,$6.12,$7.99,348,"Commander Legends: Battle for Baldur's Gate",74900,0,,0,,,,267056,650836
"Manor Gate","Land - Gate",Colorless,Common,"Andreas Rocha",0,0,,0,0,0,0,$0.12,$0.34,356,"Commander Legends: Battle for Baldur's Gate",74908,0,,0,,,,273083,660772
"Morphic Pool","Land",Colorless,Rare,"Chris Ostrowski",0,0,,0,0,0,0,$8.42,$10.16,357,"Commander Legends: Battle for Baldur's Gate",74909,0,,0,,,,267057,650838
"Sea Gate","Land - Gate",Colorless,Common,"Kamila Szutenberg",0,0,,0,0,0,0,$0.12,$0.34,359,"Commander Legends: Battle for Baldur's Gate",74911,0,,0,,,,273082,660773
